model,dataset,compression_ratio,psnr,ssim,mse
MLP_Native,neghip_64x64x64_uint8,419.85025025025027,15.13100814819336,0.18457019329071045,0.030683089047670364
MLP_Native,neghip_64x64x64_uint8,140.60690579953067,16.452930450439453,0.27778032422065735,0.02263116091489792
FKAN_Native,neghip_64x64x64_uint8,23.55741774597576,17.815412521362305,0.197404146194458,0.016537073999643326
MLP_Native,neghip_64x64x64_uint8,49.58626723098385,17.299781799316406,0.3252854347229004,0.01862180233001709
FKAN_Native,neghip_64x64x64_uint8,6.637250092572959,16.35281753540039,0.21056225895881653,0.02315891906619072
FKAN_Native,neghip_64x64x64_uint8,67.98560637987487,15.830140113830566,0.12423035502433777,0.02612076885998249
FKAN_Native,neghip_64x64x64_uint8,137.68971177204386,15.47246265411377,0.10507374256849289,0.028363097459077835
MLP_Native,neghip_64x64x64_uint8,284.82303408936576,15.356127738952637,0.18513762950897217,0.029133131727576256
FKAN_Native,mrt_angio_416x512x112_uint16,12529.763771255992,29.518659591674805,0.7098470330238342,0.0011172081576660275
FKAN_Native,mrt_angio_416x512x112_uint16,6186.690180568613,29.890419006347656,0.7114028334617615,0.0010255526285618544
MLP_Native,mrt_angio_416x512x112_uint16,4512.35031801953,30.670063018798828,0.736078143119812,0.0008570253266952932
MLP_Native,mrt_angio_416x512x112_uint16,12795.22842775729,29.52751922607422,0.7171997427940369,0.0011149307247251272
FKAN_Native,mrt_angio_416x512x112_uint16,603.9897584241393,30.71613121032715,0.718795120716095,0.0008479821844957769
MLP_Native,mrt_angio_416x512x112_uint16,25968.272145870185,29.4558048248291,0.7183037996292114,0.001133494428358972
MLP_Native,mrt_angio_416x512x112_uint16,38206.372772772775,28.827842712402344,0.699547529220581,0.001309832208789885
FKAN_Native,mrt_angio_416x512x112_uint16,2143.7250148837943,30.34629249572754,0.7156705856323242,0.0009233590681105852
MLP_Native,nucleon_41x41x41_uint8,74.88360722531577,12.835064888000488,0.10834653675556183,0.052058711647987366
MLP_Native,nucleon_41x41x41_uint8,36.967348307073415,13.43208122253418,0.1456369310617447,0.04537239670753479
MLP_Native,nucleon_41x41x41_uint8,13.032547805327724,13.523029327392578,0.15697059035301208,0.04443212226033211
MLP_Native,nucleon_41x41x41_uint8,110.69423810479823,12.776256561279297,0.10137663781642914,0.052768442779779434
FKAN_Native,nucleon_41x41x41_uint8,1.7450176758965334,11.274506568908691,0.11728612333536148,0.07456743717193604
FKAN_Native,nucleon_41x41x41_uint8,6.193545488244611,14.529778480529785,0.16039513051509857,0.035238880664110184
FKAN_Native,nucleon_41x41x41_uint8,17.874282750348495,13.247517585754395,0.09990916401147842,0.04734216630458832
FKAN_Native,nucleon_41x41x41_uint8,36.200380802311074,13.641535758972168,0.1069192886352539,0.043236080557107925
